count,roblas-bench command
60,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 458 -k 458 --alpha 1 --lda 18432 --stride_a 64 --ldb 458 --stride_b 209764 --beta 0 --ldc 64 --stride_c 29312 --batch 288
60,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 425 -k 425 --alpha 1 --lda 18432 --stride_a 64 --ldb 425 --stride_b 180625 --beta 0 --ldc 64 --stride_c 27200 --batch 288
60,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 458 -n 458 -k 64 --alpha 1 --lda 18432 --stride_a 64 --ldb 18432 --stride_b 64 --beta 0 --ldc 458 --stride_c 209764 --batch 288
60,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 425 -n 425 -k 64 --alpha 1 --lda 18432 --stride_a 64 --ldb 18432 --stride_b 64 --beta 0 --ldc 425 --stride_c 180625 --batch 288
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11472 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 9360 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 8928 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 8400 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 12216 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 10824 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 398 -k 398 --alpha 1 --lda 18432 --stride_a 64 --ldb 398 --stride_b 158404 --beta 0 --ldc 64 --stride_c 25472 --batch 288
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 10368 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 10320 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 6840 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 11616 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 7584 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 8856 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11640 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 12168 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 12288 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 10488 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 398 -n 398 -k 64 --alpha 1 --lda 18432 --stride_a 64 --ldb 18432 --stride_b 64 --beta 0 --ldc 398 --stride_c 158404 --batch 288
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 9864 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11136 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 9456 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 10320 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 8112 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 12288 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
